session_time,frame_id,speed,throttle,steer,brake,gear,engine_rpm,drs,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,last_lap_time,current_lap_time,sector1_time,sector2_time,lap_distance,current_lap_num,sector
965.2294311523438,58033,302,0.0,-0.0,0.0,8,10564,1,-156.91697692871094,2.768127918243408,420.6348876953125,-60.50236511230469,-0.37044063210487366,-58.14680099487305,80.381,0.683,0.0,0.0,58.4765625,9,0
965.255126953125,58034,301,0.0,-0.0039967759512364864,0.0,8,10549,1,-157.92457580566406,2.761967658996582,419.6666259765625,-60.422393798828125,-0.3692280650138855,-58.06013870239258,80.381,0.716,0.0,0.0,59.87109375,9,0
965.2718505859375,58035,301,1.0,-0.010092932730913162,0.0,8,10726,1,-158.93130493164062,2.7557778358459473,418.69952392578125,-60.4088134765625,-0.3743346333503723,-58.022125244140625,80.381,0.733,0.0,0.0,61.26953125,9,0
965.2887573242188,58036,301,1.0,-0.01607464626431465,0.0,8,10742,1,-159.93856811523438,2.7494428157806396,417.7324523925781,-60.458431243896484,-0.38478514552116394,-58.026737213134766,80.381,0.749,0.0,0.0,62.6640625,9,0
965.2973022460938,58037,301,1.0,-0.021981127560138702,0.0,8,10746,1,-160.94683837890625,2.7429416179656982,416.7652893066406,-60.52250671386719,-0.3941282033920288,-58.02458572387695,80.381,0.749,0.0,0.0,64.05859375,9,0
965.3146362304688,58038,302,1.0,-0.02781190536916256,0.0,8,10750,1,-161.95626831054688,2.736311197280884,415.7983703613281,-60.59894561767578,-0.4006407558917999,-58.00909423828125,80.381,0.766,0.0,0.0,65.45703125,9,0
965.3322143554688,58039,302,1.0,-0.03356003761291504,0.0,8,10756,1,-162.96710205078125,2.729604959487915,414.83184814453125,-60.68954849243164,-0.4033922553062439,-57.977169036865234,80.381,0.799,0.0,0.0,66.8515625,9,0
965.3499755859375,58040,302,1.0,-0.039224665611982346,0.0,8,10762,1,-163.9796142578125,2.7228734493255615,413.86602783203125,-60.79591751098633,-0.40463903546333313,-57.926822662353516,80.381,0.816,0.0,0.0,68.25,9,0
965.3680419921875,58041,302,1.0,-0.04480394348502159,0.0,8,10768,1,-164.99404907226562,2.7161030769348145,412.9012145996094,-60.919803619384766,-0.40726739168167114,-57.85635757446289,80.381,0.833,0.0,0.0,69.6484375,9,0
965.3861083984375,58042,302,1.0,-0.047894008457660675,0.0,8,10773,1,-166.01072692871094,2.709289073944092,411.9377746582031,-61.060237884521484,-0.4098256528377533,-57.76663589477539,80.381,0.849,0.0,0.0,71.05078125,9,0
965.404052734375,58043,302,1.0,-0.046125322580337524,0.0,8,10780,1,-167.0298614501953,2.702422618865967,410.97601318359375,-61.21262741088867,-0.41385018825531006,-57.661407470703125,80.381,0.866,0.0,0.0,72.44921875,9,0
965.4130249023438,58044,302,1.0,-0.040561743080616,0.0,8,10786,1,-168.0516357421875,2.6954591274261475,410.0160827636719,-61.372901916503906,-0.4210224747657776,-57.54600524902344,80.381,0.866,0.0,0.0,73.8515625,9,0
965.4310913085938,58045,303,1.0,-0.027916256338357925,0.0,8,10787,1,-169.07606506347656,2.688349723815918,409.0581359863281,-61.530799865722656,-0.4304996430873871,-57.42796325683594,80.381,0.883,0.0,0.0,75.25,9,0
965.4494018554688,58046,303,1.0,-0.022328056395053864,0.0,8,10791,1,-170.10311889648438,2.6810836791992188,408.1021728515625,-61.690269470214844,-0.4398837685585022,-57.30524826049805,80.381,0.916,0.0,0.0,76.65234375,9,0
965.4678344726562,58047,303,1.0,-0.01678364723920822,0.0,8,10795,1,-171.1328582763672,2.6736724376678467,407.1482849121094,-61.85098648071289,-0.4474093019962311,-57.181156158447266,80.381,0.933,0.0,0.0,78.0546875,9,0
965.4865112304688,58048,303,1.0,-0.016661465167999268,0.0,8,10801,1,-172.16534423828125,2.666182279586792,406.1965026855469,-62.015438079833984,-0.4506804943084717,-57.055179595947266,80.381,0.949,0.0,0.0,79.45703125,9,0
965.4957885742188,58049,303,1.0,-0.016679659485816956,0.0,8,10806,1,-173.20057678222656,2.6586532592773438,405.2467956542969,-62.1810188293457,-0.45238953828811646,-56.92964172363281,80.381,0.949,0.0,0.0,80.859375,9,0
965.51416015625,58050,303,1.0,-0.022333670407533646,0.0,8,10809,1,-174.23855590820312,2.6511073112487793,404.2992248535156,-62.350093841552734,-0.45299482345581055,-56.80071258544922,80.381,0.966,0.0,0.0,82.265625,9,0
965.5323486328125,58051,303,1.0,-0.027931956574320793,0.0,8,10813,1,-175.27938842773438,2.643540859222412,403.3538513183594,-62.52121353149414,-0.4551352262496948,-56.66831970214844,80.381,0.999,0.0,0.0,83.671875,9,0
965.5502319335938,58052,303,1.0,-0.03233647346496582,0.0,8,10818,1,-176.32308959960938,2.6359357833862305,402.4106750488281,-62.6935920715332,-0.45739611983299255,-56.533042907714844,80.381,1.016,0.0,0.0,85.07421875,9,0
965.5680541992188,58053,304,1.0,-0.026781873777508736,0.0,8,10825,1,-177.3695831298828,2.6282434463500977,401.4696960449219,-62.8575439453125,-0.4660329520702362,-56.40493392944336,80.381,1.033,0.0,0.0,86.48046875,9,0
965.5858154296875,58054,304,1.0,-0.01372834388166666,0.0,8,10832,1,-178.41868591308594,2.620295286178589,400.53070068359375,-63.00631332397461,-0.4851110875606537,-56.29457092285156,80.381,1.049,0.0,0.0,87.88671875,9,0
965.6036987304688,58055,304,1.0,-0.0007649151375517249,0.0,8,10837,1,-179.47007751464844,2.6120190620422363,399.5933837890625,-63.13841247558594,-0.504060685634613,-56.20289611816406,80.381,1.066,0.0,0.0,89.296875,9,0
965.6126098632812,58056,304,1.0,0.012067938223481178,0.0,8,10843,1,-180.5235137939453,2.6034414768218994,398.6574401855469,-63.25203323364258,-0.522151529788971,-56.133026123046875,80.381,1.066,0.0,0.0,90.703125,9,0
965.6304931640625,58057,304,1.0,0.01769494079053402,0.0,8,10846,1,-181.57870483398438,2.5945792198181152,397.722412109375,-63.35243225097656,-0.5369901061058044,-56.081077575683594,80.381,1.083,0.0,0.0,92.11328125,9,0
965.6484985351562,58058,304,1.0,0.02172352932393551,0.0,8,10848,1,-182.6354522705078,2.5855844020843506,396.7880859375,-63.43830490112305,-0.5401812791824341,-56.04703140258789,80.381,1.116,0.0,0.0,93.51953125,9,0
965.6666259765625,58059,304,1.0,0.022656714543700218,0.0,8,10850,1,-183.6934356689453,2.5766494274139404,395.8541564941406,-63.50860595703125,-0.5322951674461365,-56.03092956542969,80.381,1.133,0.0,0.0,94.9296875,9,0
965.6847534179688,58060,305,1.0,0.022480355575680733,0.0,8,10853,1,-184.75245666503906,2.567936658859253,394.9203186035156,-63.56236267089844,-0.51558518409729,-56.034034729003906,80.381,1.149,0.0,0.0,96.33984375,9,0
965.7029418945312,58061,305,1.0,0.022647039964795113,0.0,8,10858,1,-185.81222534179688,2.5595319271087646,393.9862060546875,-63.59800720214844,-0.49670857191085815,-56.05685043334961,80.381,1.166,0.0,0.0,97.75,9,0
965.7210083007812,58062,305,1.0,0.022289136424660683,0.0,8,10863,1,-186.8723907470703,2.551403760910034,393.051513671875,-63.615943908691406,-0.481997013092041,-56.09919738769531,80.381,1.183,0.0,0.0,99.1640625,9,0
965.7300415039062,58063,305,1.0,0.02434530481696129,0.0,8,10871,1,-187.9326629638672,2.5434608459472656,392.1159362792969,-63.6147575378418,-0.4737343192100525,-56.16165542602539,80.381,1.183,0.0,0.0,100.57421875,9,0
965.748046875,58064,305,1.0,0.02446829527616501,0.0,8,10879,1,-188.9927520751953,2.535569429397583,391.1791687011719,-63.597415924072266,-0.47443610429763794,-56.240333557128906,80.381,1.199,0.0,0.0,101.98828125,9,0
965.76611328125,58065,305,1.0,0.02464991994202137,0.0,8,10887,1,-190.05242919921875,2.5275845527648926,390.2409362792969,-63.566062927246094,-0.4826202690601349,-56.3336067199707,80.381,1.233,0.0,0.0,103.40234375,9,0
965.7841796875,58066,305,1.0,0.024880025535821915,0.0,8,10892,1,-191.1114501953125,2.5194339752197266,389.301025390625,-63.5224494934082,-0.4934171736240387,-56.44034957885742,80.381,1.249,0.0,0.0,104.81640625,9,0
965.8023071289062,58067,306,1.0,0.025131164118647575,0.0,8,10896,1,-192.16964721679688,2.511122941970825,388.3592224121094,-63.46824645996094,-0.5017933249473572,-56.559112548828125,80.381,1.266,0.0,0.0,106.23046875,9,0
965.8204345703125,58068,306,1.0,0.025384556502103806,0.0,8,10899,1,-193.226806640625,2.5027244091033936,387.4153137207031,-63.40422439575195,-0.5046965479850769,-56.688438415527344,80.381,1.283,0.0,0.0,107.64453125,9,0
965.82958984375,58069,306,1.0,0.025625288486480713,0.0,8,10903,1,-194.28285217285156,2.4943063259124756,386.4692077636719,-63.331966400146484,-0.5054097175598145,-56.82585906982422,80.381,1.283,0.0,0.0,109.0625,9,0
965.8479614257812,58070,306,1.0,0.025843866169452667,0.0,8,10907,1,-195.33763122558594,2.48590350151062,385.52069091796875,-63.25259780883789,-0.5028337836265564,-56.96977233886719,80.381,1.299,0.0,0.0,110.48046875,9,0
965.8663940429688,58071,306,1.0,0.02603229507803917,0.0,8,10913,1,-196.39100646972656,2.4775824546813965,384.5697326660156,-63.16620635986328,-0.49678465723991394,-57.11908721923828,80.381,1.333,0.0,0.0,111.8984375,9,0
965.8848266601562,58072,306,1.0,0.026189124211668968,0.0,8,10918,1,-197.44288635253906,2.469351053237915,383.61627197265625,-63.07429122924805,-0.49182650446891785,-57.272464752197266,80.381,1.349,0.0,0.0,113.31640625,9,0
965.9031372070312,58073,306,1.0,0.022775867953896523,0.0,8,10922,1,-198.49322509765625,2.4611871242523193,382.6602478027344,-62.982295989990234,-0.48862016201019287,-57.426124572753906,80.381,1.366,0.0,0.0,114.73828125,9,0
965.9213256835938,58074,306,1.0,0.01722380891442299,0.0,8,10925,1,-199.5420684814453,2.4530744552612305,381.7016906738281,-62.894020080566406,-0.4849509298801422,-57.5761604309082,80.381,1.383,0.0,0.0,116.15625,9,0
965.9303588867188,58075,307,1.0,0.011676495894789696,0.0,8,10929,1,-200.5894775390625,2.445066213607788,380.74066162109375,-62.81039810180664,-0.47734498977661133,-57.720497131347656,80.381,1.383,0.0,0.0,117.578125,9,0
965.9483642578125,58076,307,1.0,0.0068464092910289764,0.0,8,10935,1,-201.6355438232422,2.4371607303619385,379.77734375,-62.732730865478516,-0.47307389974594116,-57.85725784301758,80.381,1.399,0.0,0.0,119.0,9,0
965.9663696289062,58077,307,1.0,0.005638705100864172,0.0,8,10938,1,-202.6803741455078,2.4292938709259033,378.81182861328125,-62.66067886352539,-0.4710608124732971,-57.98857498168945,80.381,1.433,0.0,0.0,120.421875,9,0
965.984375,58078,307,1.0,0.0008392110466957092,0.0,8,10942,1,-203.72409057617188,2.421480178833008,377.8441467285156,-62.598236083984375,-0.46729162335395813,-58.10974884033203,80.381,1.449,0.0,0.0,121.84375,9,0
