session_time,frame_id,speed,throttle,steer,brake,gear,engine_rpm,drs,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,last_lap_time,current_lap_time,sector1_time,sector2_time,lap_distance,current_lap_num,sector
1126.127685546875,67723,303,1.0,-0.0,0.0,8,10789,1,-117.22389221191406,3.006189346313477,461.1525573730469,-60.66778945922852,-0.5034898519515991,-58.41247177124024,79.618,0.016,0.0,0.0,1.75,11,0
1126.138427734375,67724,303,1.0,-0.0,0.0,8,10789,1,-117.22389221191406,3.006189346313477,461.1525573730469,-60.66778945922852,-0.5034898519515991,-58.41247177124024,79.618,0.033,0.0,0.0,1.75,11,0
1126.159912109375,67725,303,1.0,-0.0,0.0,8,10804,1,-119.2472915649414,2.9894795417785645,459.2044372558594,-60.73092651367188,-0.5050185322761536,-58.4695930480957,79.618,0.05,0.0,0.0,4.5625,11,0
1126.170654296875,67726,303,1.0,-0.0,0.0,8,10804,1,-119.2472915649414,2.9894795417785645,459.2044372558594,-60.73092651367188,-0.5050185322761536,-58.4695930480957,79.618,0.066,0.0,0.0,4.5625,11,0
1126.192138671875,67727,303,1.0,-0.0,0.0,8,10816,1,-121.27278137207033,2.9724817276000977,457.2544555664063,-60.79349899291992,-0.5106567144393921,-58.52635192871094,79.618,0.083,0.0,0.0,7.37890625,11,0
1126.202880859375,67728,303,1.0,-0.0,0.0,8,10816,1,-121.27278137207033,2.9724817276000977,457.2544555664063,-60.79349899291992,-0.5106567144393921,-58.52635192871094,79.618,0.1,0.0,0.0,7.37890625,11,0
1126.2247314453125,67729,304,1.0,-0.0,0.0,8,10821,1,-123.30039978027344,2.9556632041931152,455.3025207519531,-60.85774612426758,-0.4949578940868377,-58.58416366577149,79.618,0.116,0.0,0.0,10.1953125,11,0
1126.2357177734375,67730,304,1.0,-0.0,0.0,8,10821,1,-123.30039978027344,2.9556632041931152,455.3025207519531,-60.85774612426758,-0.4949578940868377,-58.58416366577149,79.618,0.133,0.0,0.0,10.1953125,11,0
1126.258056640625,67731,304,1.0,-0.0,0.0,8,10830,1,-125.33016967773438,2.940040349960327,453.3486633300781,-60.92152404785156,-0.4428902268409729,-58.64189529418945,79.618,0.15,0.0,0.0,13.015625,11,0
1126.26953125,67732,304,1.0,-0.0,0.0,8,10830,1,-125.33016967773438,2.940040349960327,453.3486633300781,-60.92152404785156,-0.4428902268409729,-58.64189529418945,79.618,0.166,0.0,0.0,13.015625,11,0
1126.2923583984375,67733,304,1.0,-0.0,0.0,8,10841,1,-127.36197662353516,2.9262709617614746,451.3928833007813,-60.98150253295898,-0.3904103338718414,-58.69942855834961,79.618,0.183,0.0,0.0,15.83984375,11,0
1126.303955078125,67734,304,1.0,-0.0,0.0,8,10841,1,-127.36197662353516,2.9262709617614746,451.3928833007813,-60.98150253295898,-0.3904103338718414,-58.69942855834961,79.618,0.2,0.0,0.0,15.83984375,11,0
1126.326904296875,67735,305,1.0,-0.0,0.0,8,10852,1,-129.395751953125,2.91385817527771,449.4351806640625,-61.04072570800781,-0.361037015914917,-58.75808334350586,79.618,0.216,0.0,0.0,18.6640625,11,0
1126.3382568359375,67736,305,1.0,-0.0,0.0,8,10852,1,-129.395751953125,2.91385817527771,449.4351806640625,-61.04072570800781,-0.361037015914917,-58.75808334350586,79.618,0.233,0.0,0.0,18.6640625,11,0
1126.3497314453125,67737,305,1.0,-0.0,0.0,8,10861,1,-130.4133758544922,2.9078400135040283,448.4555969238281,-61.06925582885742,-0.3628970980644226,-58.78630447387695,79.618,0.233,0.0,0.0,20.078125,11,0
1126.3724365234375,67738,305,1.0,-0.0,0.0,8,10869,1,-131.43148803710938,2.901663303375244,447.4755554199219,-61.097843170166016,-0.3771282434463501,-58.81441879272461,79.618,0.266,0.0,0.0,21.49609375,11,0
1126.3839111328125,67739,305,1.0,-0.0,0.0,8,10876,1,-132.45005798339844,2.895171880722046,446.4950256347656,-61.126583099365234,-0.3982596397399902,-58.84246826171875,79.618,0.266,0.0,0.0,22.91015625,11,0
1126.4068603515625,67740,305,1.0,-0.0044962367974221,0.0,8,10886,1,-134.4886932373047,2.8812050819396973,444.5326232910156,-61.19003677368164,-0.4335285723209381,-58.893062591552734,79.618,0.3,0.0,0.0,25.7421875,11,0
1126.41845703125,67741,305,1.0,-0.0044962367974221,0.0,8,10886,1,-134.4886932373047,2.8812050819396973,444.5326232910156,-61.19003677368164,-0.4335285723209381,-58.893062591552734,79.618,0.316,0.0,0.0,25.7421875,11,0
1126.4415283203125,67742,306,1.0,-0.0113980434834957,0.0,8,10891,1,-136.5299072265625,2.866619825363159,442.5689697265625,-61.27869415283203,-0.4349859356880188,-58.91938018798828,79.618,0.333,0.0,0.0,28.578125,11,0
1126.4530029296875,67743,306,1.0,-0.0113980434834957,0.0,8,10891,1,-136.5299072265625,2.866619825363159,442.5689697265625,-61.27869415283203,-0.4349859356880188,-58.91938018798828,79.618,0.35,0.0,0.0,28.578125,11,0
1126.47607421875,67744,306,1.0,-0.012018228881061,0.0,8,10897,1,-138.57440185546875,2.85256576538086,440.6047668457031,-61.384891510009766,-0.408608078956604,-58.92732238769531,79.618,0.366,0.0,0.0,31.41796875,11,0
1126.487548828125,67745,306,1.0,-0.012018228881061,0.0,8,10897,1,-138.57440185546875,2.85256576538086,440.6047668457031,-61.384891510009766,-0.408608078956604,-58.92732238769531,79.618,0.383,0.0,0.0,31.41796875,11,0
1126.5103759765625,67746,306,1.0,-0.0078238928690552,0.0,8,10911,1,-140.62261962890625,2.839418649673462,438.640625,-61.499629974365234,-0.3865354359149933,-58.9206657409668,79.618,0.4,0.0,0.0,34.2578125,11,0
